Country Code,Year,Governance2
TJK,1996,-2.11674880981445
TZA,1996,-0.626190364360809
THA,1996,0.466799110174179
TLS,1996,..
TGO,1996,-0.376152634620667
TON,1996,..
TTO,1996,0.273877173662186
TUN,1996,0.262547045946121
TUR,1996,-1.25874590873718
TKM,1996,0.449250608682632
TUV,1996,..
UGA,1996,-1.53094363212585
UKR,1996,-0.152148813009262
ARE,1996,0.964015007019043
GBR,1996,0.981364369392395
USA,1996,0.935005784034729
URY,1996,0.623442530632019
UZB,1996,-0.54373174905777
VUT,1996,1.03555142879486
VEN,1996,-0.584048211574554
VNM,1996,0.525695502758026
VIR,1996,..
PSE,1996,-1.40572607517242
YEM,1996,-1.31153786182404
ZMB,1996,-0.159948900341988
ZWE,1996,-0.466122418642044
AFG,1998,-2.42735457420349
ALB,1998,-0.544004201889038
